Gender,HoursStudied/Week,Tutoring,Region,Attendance(%),Parent Education,Exam_Score
Male,5.5,No,Urban,72.7,Tertiary,43.5
Female,6.8,No,Urban,62,Primary,51.7
Female,9.7,No,Rural,95,Secondary,70.1
Male,13.3,Yes,Rural,52.9,None,79.5
Female,8.9,No,Urban,50.8,None,52.2
Female,7.9,No,Urban,73.7,Tertiary,58.8
Female,7.6,No,Urban,79.5,Secondary,64.8
Female,12.3,Yes,Urban,98.4,Secondary,100
Female,10.6,Yes,Rural,72.3,Primary,87.8
Female,9.9,No,Rural,73.2,Tertiary,67
Female,3.9,No,Urban,89.7,Tertiary,48.8
Male,2.3,Yes,Rural,85.7,None,52.6
Male,14,Yes,Rural,89.1,Tertiary,100
Female,9.1,Yes,Rural,62,Primary,75.8
Male,15.3,Yes,Urban,77.2,Tertiary,100
Male,10.6,Yes,Rural,76.9,Secondary,72.4
Male,9.1,No,Rural,78.5,Secondary,56.4
Male,12.7,No,Urban,89.9,None,83.1
Male,7.1,No,Rural,69.7,Tertiary,42.6
Female,9,No,Urban,61.5,Secondary,60.8
Male,11.8,Yes,Urban,74.4,Secondary,82.3
Female,9.7,Yes,Urban,58.9,Tertiary,75.9
Female,5.1,No,Urban,50.4,Primary,42.7
Male,5.4,No,Rural,50.1,Tertiary,34.8
Male,13.9,No,Urban,70.4,Secondary,88.9
Female,9.4,No,Urban,71.4,Tertiary,67.9
Female,0,Yes,Urban,60.8,Tertiary,44.1
Female,14.1,Yes,Rural,79.8,Secondary,89.5
Female,3.5,No,Urban,72.4,None,35.8
Male,11.7,No,Urban,71.6,None,76
Female,15.4,No,Urban,99.5,Tertiary,94
Male,4.8,No,Urban,98.9,Secondary,57.2
Female,11.3,Yes,Urban,87.2,Secondary,91
Male,7.4,Yes,Urban,60.6,Tertiary,70.1
Female,16,No,Urban,92.4,Secondary,100
Female,10.7,No,Urban,80.6,Tertiary,74.6
Male,9.9,No,Rural,89.4,None,65.1
Female,2.7,No,Rural,79.2,Primary,38.5
Female,6.3,No,Rural,71.6,Tertiary,52.7
Male,6.2,No,Urban,70.8,Tertiary,54.6
Male,6.3,No,Rural,98.2,Tertiary,56.4
Female,12.6,Yes,Urban,95.9,Secondary,93.9
Male,10.4,No,Urban,99.9,Tertiary,77.1
Female,14.9,No,Rural,84.5,Tertiary,92.7
Female,9.1,Yes,Urban,84.9,Secondary,87.2
Female,9,No,Urban,96.9,Primary,68.1
Female,5.2,No,Urban,62.2,None,39.7
Female,7.9,Yes,Rural,71.1,Tertiary,75.2
Male,10.7,No,Urban,57,Primary,63.9
Female,12.8,Yes,Urban,50,Secondary,91.5
Male,10.9,No,Urban,58.7,Secondary,66.6
Female,11.8,Yes,Rural,78,Secondary,85.7
Female,7.6,No,Rural,96.6,Tertiary,65.2
Female,6.8,Yes,Urban,52.4,Secondary,70.6
Female,7.7,No,Rural,93.2,Tertiary,64.5
Male,2.7,Yes,Rural,55.6,Tertiary,46.5
Female,8.2,Yes,Urban,61.5,Primary,66.7
Male,8.2,No,Rural,65,Secondary,52.5
Male,15.5,No,Urban,84.1,Secondary,98
Female,7.1,Yes,Urban,72.6,Secondary,69.7
Female,4.7,No,Rural,70.8,Secondary,47
Male,16,No,Urban,90.2,Tertiary,100
Female,6.2,No,Urban,93.3,Tertiary,60.8
Male,13,No,Urban,94.8,Secondary,92.9
Female,12.4,No,Urban,90.4,None,83.5
Male,2,No,Urban,98.6,Secondary,43
Male,16,No,Rural,56.4,Secondary,88.9
Male,9.8,Yes,Urban,99.9,Secondary,96.2
Male,12,No,Rural,94.3,None,74.9
Male,8.5,No,Urban,84.2,Tertiary,56.2
Female,8.4,No,Urban,86.8,None,67.7
Female,14.9,No,Urban,63.3,Primary,83.2
Male,11.3,No,Rural,77.9,None,66.2
Male,13.6,Yes,Urban,59.8,Secondary,94.1
Male,16,Yes,Urban,87.4,Secondary,100
Female,15.1,No,Urban,92.5,Secondary,91.1
Female,16,No,Rural,56.7,Tertiary,85.1
Male,10.9,No,Rural,56.8,Tertiary,63.9
Female,3.7,No,Urban,76.8,Primary,40.8
Male,1.2,No,Urban,83,Primary,44.1
Male,10.3,No,Urban,91.4,Secondary,73.7
Female,3.8,Yes,Urban,80.7,Primary,61.8
Male,6,No,Urban,88.2,Secondary,62.5
Female,4.5,No,Urban,63.2,Secondary,50.7
Female,10.7,No,Rural,68.2,Tertiary,73.3
